id,ssid,bssid,signal,frequency,auth,akm,cipher,timestamp,longitude,latitude,altitude
1,,6e:42:4e:6b:01:f3,-49,5220,0,[4],0,2026-06-02T14:36:01.128216,0.0,0.0,0.0
2,,6e:42:4e:7b:01:f3,-55,5765,0,[4],0,2026-06-02T14:36:01.129179,0.0,0.0,0.0
3,,6e:42:4e:8b:01:f3,-40,2437,0,[4],0,2026-06-02T14:36:01.129300,0.0,0.0,0.0
4,,6e:42:4e:5b:01:f3,-40,2437,0,[4],0,2026-06-02T14:36:01.129388,0.0,0.0,0.0
5,M&M Lodge,24:e5:0f:4a:91:1a,-38,5745,0,[4],0,2026-06-02T14:36:01.129473,0.0,0.0,0.0
6,Vranes Home Starlink,6e:42:4e:3b:01:f3,-49,5220,0,[4],0,2026-06-02T14:36:01.129607,0.0,0.0,0.0
7,Vranes Home Starlink,6e:42:4e:4b:01:f3,-55,5765,0,[4],0,2026-06-02T14:36:01.129693,0.0,0.0,0.0
8,M&M Lodge,24:e5:0f:4a:7f:2c,-59,5745,0,[4],0,2026-06-02T14:36:01.129775,0.0,0.0,0.0
9,M&M Lodge,24:e5:0f:4a:76:71,-61,5745,0,[4],0,2026-06-02T14:36:01.129857,0.0,0.0,0.0
10,306D4721,0a:b4:b1:03:f8:e9,-70,5745,0,[],0,2026-06-02T14:36:01.129936,0.0,0.0,0.0
11,M&M Lodge,24:e5:0f:4a:7f:28,-18,2412,0,[4],0,2026-06-02T14:36:01.130017,0.0,0.0,0.0
12,M&M Lodge,24:e5:0f:4a:91:16,-30,2437,0,[4],0,2026-06-02T14:36:01.130100,0.0,0.0,0.0
13,Vranes Home Starlink,6e:42:4e:2b:01:f3,-38,2437,0,[4],0,2026-06-02T14:36:01.130182,0.0,0.0,0.0
14,M&M Lodge,24:e5:0f:4a:76:6d,-41,2412,0,[4],0,2026-06-02T14:36:01.130263,0.0,0.0,0.0
15,WACFan_8ADA98,10:97:bd:8a:da:99,-63,2412,0,[4],0,2026-06-02T14:36:01.130344,0.0,0.0,0.0
16,Stunami Internet,c8:7f:54:49:c1:68,-72,2452,0,[4],0,2026-06-02T14:36:01.130425,0.0,0.0,0.0
17,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-73,2462,0,[4],0,2026-06-02T14:36:01.130507,0.0,0.0,0.0
18,,8c:90:2d:21:88:c6,-74,2417,0,[4],0,2026-06-02T14:36:01.130635,0.0,0.0,0.0
19,Brown Hollow 2,8e:a0:2d:21:88:c2,-81,2417,0,[4],0,2026-06-02T14:36:01.130722,0.0,0.0,0.0
20,Huish,1a:60:41:1e:57:50,-83,2422,0,[4],0,2026-06-02T14:36:01.130804,0.0,0.0,0.0
21,Brown Hollow 2,8e:a0:2d:21:88:c6,-84,2417,0,[4],0,2026-06-02T14:36:01.130886,0.0,0.0,0.0
22,Trump2024,e2:db:d1:cb:76:f1,-88,2412,0,[4],0,2026-06-02T14:36:01.130967,0.0,0.0,0.0
23,,e2:db:d1:cb:76:f6,-88,2412,0,[3],0,2026-06-02T14:36:01.131048,0.0,0.0,0.0
24,Brown Hollow 2,8e:a0:2d:21:88:ca,-91,2417,0,[4],0,2026-06-02T14:36:01.131129,0.0,0.0,0.0
25,GDSH,c6:33:7c:c6:8f:b3,-45,2462,0,[],0,2026-06-02T14:36:01.131207,0.0,0.0,0.0
26,,6e:42:4e:6b:01:f3,-49,5220,0,[4],0,2026-06-02T14:36:17.259956,0.0,0.0,0.0
27,,6e:42:4e:7b:01:f3,-53,5765,0,[4],0,2026-06-02T14:36:17.260888,0.0,0.0,0.0
28,,6e:42:4e:8b:01:f3,-40,2437,0,[4],0,2026-06-02T14:36:17.261003,0.0,0.0,0.0
29,,6e:42:4e:5b:01:f3,-40,2437,0,[4],0,2026-06-02T14:36:17.261092,0.0,0.0,0.0
30,M&M Lodge,24:e5:0f:4a:91:1a,-41,5745,0,[4],0,2026-06-02T14:36:17.261178,0.0,0.0,0.0
31,Vranes Home Starlink,6e:42:4e:3b:01:f3,-49,5220,0,[4],0,2026-06-02T14:36:17.261263,0.0,0.0,0.0
32,Vranes Home Starlink,6e:42:4e:4b:01:f3,-53,5765,0,[4],0,2026-06-02T14:36:17.261347,0.0,0.0,0.0
33,M&M Lodge,24:e5:0f:4a:7f:2c,-63,5745,0,[4],0,2026-06-02T14:36:17.261430,0.0,0.0,0.0
34,M&M Lodge,24:e5:0f:4a:76:71,-67,5745,0,[4],0,2026-06-02T14:36:17.261514,0.0,0.0,0.0
35,306D4721,0a:b4:b1:03:f8:e9,-70,5745,0,[],0,2026-06-02T14:36:17.261717,0.0,0.0,0.0
36,M&M Lodge,24:e5:0f:4a:7f:28,-46,2412,0,[4],0,2026-06-02T14:36:17.261804,0.0,0.0,0.0
37,M&M Lodge,24:e5:0f:4a:91:16,-32,2437,0,[4],0,2026-06-02T14:36:17.261890,0.0,0.0,0.0
38,Vranes Home Starlink,6e:42:4e:2b:01:f3,-40,2437,0,[4],0,2026-06-02T14:36:17.261975,0.0,0.0,0.0
39,M&M Lodge,24:e5:0f:4a:76:6d,-43,2412,0,[4],0,2026-06-02T14:36:17.262059,0.0,0.0,0.0
40,WACFan_8ADA98,10:97:bd:8a:da:99,-54,2412,0,[4],0,2026-06-02T14:36:17.262142,0.0,0.0,0.0
41,Stunami Internet,c8:7f:54:49:c1:68,-72,2452,0,[4],0,2026-06-02T14:36:17.262225,0.0,0.0,0.0
42,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-73,2462,0,[4],0,2026-06-02T14:36:17.262308,0.0,0.0,0.0
43,,8c:90:2d:21:88:c6,-74,2417,0,[4],0,2026-06-02T14:36:17.262390,0.0,0.0,0.0
44,Brown Hollow 2,8e:a0:2d:21:88:c2,-81,2417,0,[4],0,2026-06-02T14:36:17.262472,0.0,0.0,0.0
45,Huish,1a:60:41:1e:57:50,-83,2422,0,[4],0,2026-06-02T14:36:17.262591,0.0,0.0,0.0
46,Brown Hollow 2,8e:a0:2d:21:88:c6,-84,2417,0,[4],0,2026-06-02T14:36:17.262679,0.0,0.0,0.0
47,Trump2024,e2:db:d1:cb:76:f1,-88,2412,0,[4],0,2026-06-02T14:36:17.262762,0.0,0.0,0.0
48,,e2:db:d1:cb:76:f6,-88,2412,0,[3],0,2026-06-02T14:36:17.262844,0.0,0.0,0.0
49,Brown Hollow 2,8e:a0:2d:21:88:ca,-91,2417,0,[4],0,2026-06-02T14:36:17.262926,0.0,0.0,0.0
50,GDSH,c6:33:7c:c6:8f:b3,-45,2462,0,[],0,2026-06-02T14:36:17.263004,0.0,0.0,0.0
51,,06:99:12:58:1b:63,-75,2437,0,[4],0,2026-06-02T14:36:17.263086,0.0,0.0,0.0
52,Stupacalypse Now,06:99:12:28:1b:63,-76,2437,0,[4],0,2026-06-02T14:36:17.263170,0.0,0.0,0.0
53,,06:99:12:88:1b:63,-76,2437,0,[4],0,2026-06-02T14:36:17.263252,0.0,0.0,0.0
54,,62:1a:11:5d:e6:16,-88,5805,0,[4],0,2026-06-02T14:36:17.263334,0.0,0.0,0.0
55,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-89,5805,0,[4],0,2026-06-02T14:36:17.263416,0.0,0.0,0.0
56,,6e:42:4e:6b:01:f3,-48,5220,0,[4],0,2026-06-02T14:36:57.179169,0.0,0.0,0.0
57,,6e:42:4e:7b:01:f3,-54,5765,0,[4],0,2026-06-02T14:36:57.179721,0.0,0.0,0.0
58,M&M Lodge,24:e5:0f:4a:91:1a,-43,5745,0,[4],0,2026-06-02T14:36:57.179790,0.0,0.0,0.0
59,Vranes Home Starlink,6e:42:4e:3b:01:f3,-47,5220,0,[4],0,2026-06-02T14:36:57.179850,0.0,0.0,0.0
60,Vranes Home Starlink,6e:42:4e:4b:01:f3,-54,5765,0,[4],0,2026-06-02T14:36:57.179908,0.0,0.0,0.0
61,M&M Lodge,24:e5:0f:4a:7f:2c,-61,5745,0,[4],0,2026-06-02T14:36:57.179984,0.0,0.0,0.0
62,M&M Lodge,24:e5:0f:4a:76:71,-68,5745,0,[4],0,2026-06-02T14:36:57.180042,0.0,0.0,0.0
63,306D4721,0a:b4:b1:03:f8:e9,-69,5745,0,[],0,2026-06-02T14:36:57.180098,0.0,0.0,0.0
64,M&M Lodge,24:e5:0f:4a:7f:28,-18,2412,0,[4],0,2026-06-02T14:36:57.180154,0.0,0.0,0.0
65,M&M Lodge,24:e5:0f:4a:91:16,-32,2437,0,[4],0,2026-06-02T14:36:57.180210,0.0,0.0,0.0
66,Vranes Home Starlink,6e:42:4e:2b:01:f3,-41,2437,0,[4],0,2026-06-02T14:36:57.180267,0.0,0.0,0.0
67,M&M Lodge,24:e5:0f:4a:76:6d,-51,2412,0,[4],0,2026-06-02T14:36:57.180323,0.0,0.0,0.0
68,WACFan_8ADA98,10:97:bd:8a:da:99,-57,2412,0,[4],0,2026-06-02T14:36:57.180379,0.0,0.0,0.0
69,Stunami Internet,c8:7f:54:49:c1:68,-81,2452,0,[4],0,2026-06-02T14:36:57.180435,0.0,0.0,0.0
70,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-72,2462,0,[4],0,2026-06-02T14:36:57.180491,0.0,0.0,0.0
71,Brown Hollow 2,8e:a0:2d:21:88:ca,-72,2417,0,[4],0,2026-06-02T14:36:57.180613,0.0,0.0,0.0
72,GDSH,c6:33:7c:c6:8f:b3,-45,2462,0,[],0,2026-06-02T14:36:57.180670,0.0,0.0,0.0
73,,06:99:12:58:1b:63,-75,2437,0,[4],0,2026-06-02T14:36:57.180726,0.0,0.0,0.0
74,Stupacalypse Now,06:99:12:28:1b:63,-76,2437,0,[4],0,2026-06-02T14:36:57.180781,0.0,0.0,0.0
75,,06:99:12:88:1b:63,-76,2437,0,[4],0,2026-06-02T14:36:57.180837,0.0,0.0,0.0
76,,62:1a:11:5d:e6:16,-88,5805,0,[4],0,2026-06-02T14:36:57.180892,0.0,0.0,0.0
77,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-89,5805,0,[4],0,2026-06-02T14:36:57.180948,0.0,0.0,0.0
78,,8c:90:2d:21:88:ca,-77,2417,0,[4],0,2026-06-02T14:36:57.181002,0.0,0.0,0.0
79,,6e:42:4e:6b:01:f3,-47,5220,0,[4],0,2026-06-02T14:37:13.314270,0.0,0.0,0.0
80,,6e:42:4e:7b:01:f3,-55,5765,0,[4],0,2026-06-02T14:37:13.315333,0.0,0.0,0.0
81,M&M Lodge,24:e5:0f:4a:91:1a,-41,5745,0,[4],0,2026-06-02T14:37:13.315391,0.0,0.0,0.0
82,Vranes Home Starlink,6e:42:4e:3b:01:f3,-47,5220,0,[4],0,2026-06-02T14:37:13.315429,0.0,0.0,0.0
83,Vranes Home Starlink,6e:42:4e:4b:01:f3,-55,5765,0,[4],0,2026-06-02T14:37:13.315465,0.0,0.0,0.0
84,M&M Lodge,24:e5:0f:4a:7f:2c,-61,5745,0,[4],0,2026-06-02T14:37:13.315501,0.0,0.0,0.0
85,M&M Lodge,24:e5:0f:4a:76:71,-72,5745,0,[4],0,2026-06-02T14:37:13.315577,0.0,0.0,0.0
86,306D4721,0a:b4:b1:03:f8:e9,-70,5745,0,[],0,2026-06-02T14:37:13.315613,0.0,0.0,0.0
87,M&M Lodge,24:e5:0f:4a:7f:28,-47,2412,0,[4],0,2026-06-02T14:37:13.315649,0.0,0.0,0.0
88,M&M Lodge,24:e5:0f:4a:91:16,-30,2437,0,[4],0,2026-06-02T14:37:13.315685,0.0,0.0,0.0
89,Vranes Home Starlink,6e:42:4e:2b:01:f3,-43,2437,0,[4],0,2026-06-02T14:37:13.315720,0.0,0.0,0.0
90,M&M Lodge,24:e5:0f:4a:76:6d,-46,2412,0,[4],0,2026-06-02T14:37:13.315755,0.0,0.0,0.0
91,WACFan_8ADA98,10:97:bd:8a:da:99,-56,2412,0,[4],0,2026-06-02T14:37:13.315791,0.0,0.0,0.0
92,Stunami Internet,c8:7f:54:49:c1:68,-81,2452,0,[4],0,2026-06-02T14:37:13.315825,0.0,0.0,0.0
93,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-69,2462,0,[4],0,2026-06-02T14:37:13.315861,0.0,0.0,0.0
94,Brown Hollow 2,8e:a0:2d:21:88:ca,-68,2417,0,[4],0,2026-06-02T14:37:13.315896,0.0,0.0,0.0
95,GDSH,c6:33:7c:c6:8f:b3,-45,2462,0,[],0,2026-06-02T14:37:13.315930,0.0,0.0,0.0
96,,06:99:12:58:1b:63,-75,2437,0,[4],0,2026-06-02T14:37:13.315965,0.0,0.0,0.0
97,Stupacalypse Now,06:99:12:28:1b:63,-76,2437,0,[4],0,2026-06-02T14:37:13.316000,0.0,0.0,0.0
98,,06:99:12:88:1b:63,-76,2437,0,[4],0,2026-06-02T14:37:13.316035,0.0,0.0,0.0
99,,62:1a:11:5d:e6:16,-88,5805,0,[4],0,2026-06-02T14:37:13.316070,0.0,0.0,0.0
100,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-89,5805,0,[4],0,2026-06-02T14:37:13.316106,0.0,0.0,0.0
101,,8c:90:2d:21:88:ca,-72,2417,0,[4],0,2026-06-02T14:37:13.316141,0.0,0.0,0.0
102,,6e:42:4e:5b:01:f3,-39,2437,0,[4],0,2026-06-02T14:37:13.316179,0.0,0.0,0.0
103,,6e:42:4e:8b:01:f3,-43,2437,0,[4],0,2026-06-02T14:37:13.316214,0.0,0.0,0.0
104,,62:1a:11:4d:e6:16,-68,2462,0,[4],0,2026-06-02T14:37:13.316248,0.0,0.0,0.0
105,Brown Hollow 2,8e:a0:2d:21:88:c2,-80,2417,0,[4],0,2026-06-02T14:37:13.316284,0.0,0.0,0.0
106,,1a:60:41:7e:57:50,-86,2422,0,[4],0,2026-06-02T14:37:13.316320,0.0,0.0,0.0
107,ASUS_2G_Guest,3c:7c:3f:97:3a:49,-89,2447,0,[4],0,2026-06-02T14:37:13.316355,0.0,0.0,0.0
108,Simon,3c:7c:3f:97:3a:48,-89,2447,0,[4],0,2026-06-02T14:37:13.316391,0.0,0.0,0.0
109,,6e:42:4e:6b:01:f3,-50,5220,0,[4],0,2026-06-02T14:37:53.230343,0.0,0.0,0.0
110,,6e:42:4e:7b:01:f3,-54,5765,0,[4],0,2026-06-02T14:37:53.231270,0.0,0.0,0.0
111,M&M Lodge,24:e5:0f:4a:91:1a,-43,5745,0,[4],0,2026-06-02T14:37:53.231375,0.0,0.0,0.0
112,Vranes Home Starlink,6e:42:4e:3b:01:f3,-49,5220,0,[4],0,2026-06-02T14:37:53.231462,0.0,0.0,0.0
113,Vranes Home Starlink,6e:42:4e:4b:01:f3,-54,5765,0,[4],0,2026-06-02T14:37:53.231586,0.0,0.0,0.0
114,M&M Lodge,24:e5:0f:4a:7f:2c,-60,5745,0,[4],0,2026-06-02T14:37:53.231677,0.0,0.0,0.0
115,M&M Lodge,24:e5:0f:4a:76:71,-67,5745,0,[4],0,2026-06-02T14:37:53.231762,0.0,0.0,0.0
116,306D4721,0a:b4:b1:03:f8:e9,-70,5745,0,[],0,2026-06-02T14:37:53.231842,0.0,0.0,0.0
117,M&M Lodge,24:e5:0f:4a:7f:28,-44,2412,0,[4],0,2026-06-02T14:37:53.231924,0.0,0.0,0.0
118,M&M Lodge,24:e5:0f:4a:91:16,-28,2437,0,[4],0,2026-06-02T14:37:53.232010,0.0,0.0,0.0
119,Vranes Home Starlink,6e:42:4e:2b:01:f3,-42,2437,0,[4],0,2026-06-02T14:37:53.232093,0.0,0.0,0.0
120,M&M Lodge,24:e5:0f:4a:76:6d,-46,2412,0,[4],0,2026-06-02T14:37:53.232175,0.0,0.0,0.0
121,WACFan_8ADA98,10:97:bd:8a:da:99,-56,2412,0,[4],0,2026-06-02T14:37:53.232256,0.0,0.0,0.0
122,Vranes Backyard Starlink,62:1a:11:2d:e6:16,-69,2462,0,[4],0,2026-06-02T14:37:53.232341,0.0,0.0,0.0
123,Brown Hollow 2,8e:a0:2d:21:88:ca,-71,2417,0,[4],0,2026-06-02T14:37:53.232425,0.0,0.0,0.0
124,GDSH,c6:33:7c:c6:8f:b3,-45,2462,0,[],0,2026-06-02T14:37:53.232503,0.0,0.0,0.0
125,,06:99:12:88:1b:63,-83,2437,0,[4],0,2026-06-02T14:37:53.232622,0.0,0.0,0.0
126,,62:1a:11:5d:e6:16,-91,5805,0,[4],0,2026-06-02T14:37:53.232705,0.0,0.0,0.0
127,Vranes Backyard Starlink,62:1a:11:3d:e6:16,-90,5805,0,[4],0,2026-06-02T14:37:53.232787,0.0,0.0,0.0
128,,8c:90:2d:21:88:ca,-72,2417,0,[4],0,2026-06-02T14:37:53.232869,0.0,0.0,0.0
129,,6e:42:4e:5b:01:f3,-39,2437,0,[4],0,2026-06-02T14:37:53.232952,0.0,0.0,0.0
130,,6e:42:4e:8b:01:f3,-43,2437,0,[4],0,2026-06-02T14:37:53.233034,0.0,0.0,0.0
131,,62:1a:11:4d:e6:16,-68,2462,0,[4],0,2026-06-02T14:37:53.233115,0.0,0.0,0.0
132,Brown Hollow 2,8e:a0:2d:21:88:c2,-80,2417,0,[4],0,2026-06-02T14:37:53.233195,0.0,0.0,0.0
133,,1a:60:41:7e:57:50,-86,2422,0,[4],0,2026-06-02T14:37:53.233278,0.0,0.0,0.0
134,ASUS_2G_Guest,3c:7c:3f:97:3a:49,-89,2447,0,[4],0,2026-06-02T14:37:53.233359,0.0,0.0,0.0
135,Simon,3c:7c:3f:97:3a:48,-89,2447,0,[4],0,2026-06-02T14:37:53.233440,0.0,0.0,0.0
136,,6e:42:4e:6b:01:f3,-47,5220,0,[4],0,2026-06-02T14:38:09.360184,0.0,0.0,0.0
137,,6e:42:4e:7b:01:f3,-57,5765,0,[4],0,2026-06-02T14:38:09.360637,0.0,0.0,0.0
138,M&M Lodge,24:e5:0f:4a:91:1a,-46,5745,0,[4],0,2026-06-02T14:38:09.360680,0.0,0.0,0.0
